sku,status,imageUrl,sourceImageUrl,reason
003283R,updated,/products/parts/003283r.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/7853/27670/891999__10002.1536944367.jpg?c=2,real-photo-found
SE37037,skipped,,,no-real-photo
30682,skipped,,,no-real-photo
FCHPIN,updated,/products/parts/fchpin.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/9455/32760/FCFCP__38046.1560286863.jpg?c=2,real-photo-found
W200-0211K,skipped,,,no-real-photo
W010-1126,updated,/products/parts/w010-1126.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12831/56339/W010-1642-1__77086.1660687814.jpg?c=2,real-photo-found
892051,updated,/products/parts/892051.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/7854/47583/892038__16410.1594831464.jpg?c=2,real-photo-found
7GX,updated,/products/parts/7gx.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13894/48310/XLK__74735.1597698177.jpg?c=2,real-photo-found
W020-0087,updated,/products/parts/w020-0087.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12924/19550/W020-0078-2__52614.1493964847.jpg?c=2,real-photo-found
W290-0134,updated,/products/parts/w290-0134.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/26801/53545/W290-0136__06261.1631295165.jpg?c=2,real-photo-found
SE09238-12,updated,/products/parts/se09238-12.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/23558/46728/PL09223__32885.1593027411.jpg?c=2,real-photo-found
W175-0210,updated,/products/parts/w175-0210.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13228/60097/W175-0227-02__21251.1683581274.jpg?c=2,real-photo-found
W010-1203,skipped,,,no-real-photo
30487,updated,/products/parts/30487.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/11404/26220/PL58611-1__92760.1531256315.jpg?c=2,real-photo-found
