sku,status,imageUrl,sourceImageUrl,reason
W010-1516,updated,/products/parts/w010-1516.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12830/53818/W010-1641__48165.1632275566.jpg?c=2,
30000060,updated,/products/parts/30000060.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3182/25775/30000336-1__88666.1530043871.jpg?c=2,
PL37152,updated,/products/parts/pl37152.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/5231/8830/50-2208-2__64218.1493917192.jpg?c=2,
NZ620-KT,updated,/products/parts/nz620-kt.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/13688/19879/W660-0065-2__57080.1493968100.jpg?c=2,
WHT31,updated,/products/parts/wht31.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/8715/32757/CFT36CV__41578.1560286624.jpg?c=2,
30000347A,updated,/products/parts/30000347a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/34618/57378/30000360A-3__69176.1669060664.jpg?c=2,
1201797,updated,/products/parts/1201797.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/975/2092/1201780-2__00946.1493889133.jpg?c=2,
W010-0284K,no-real-photo,,,no candidate product image found
PL51349,updated,/products/parts/pl51349.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12082/60392/SE51352-01__89608.1685642715.jpg?c=2,
80P30801-R,updated,/products/parts/80p30801-r.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/7025/11315/80P30608B-R-2__80260.1493928894.jpg?c=2,
TK4P,updated,/products/parts/tk4p.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12550/19251/TBHD40K-2__40323.1493963011.jpg?c=2,
BCK300CKP,fetch-error,,,HTTP Error 404: Not Found
W010-0220S,no-real-photo,,,no candidate product image found
38VF-200,updated,/products/parts/38vf-200.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3936/64074/3320-200-01__14430.1719610422.jpg?c=2,
W080-0900,no-real-photo,,,no candidate product image found
PL53530,no-real-photo,,,no candidate product image found
GD849KT,updated,/products/parts/gd849kt.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/9612/15625/GD841KT-2__33224.1493945793.jpg?c=2,
7001137,updated,/products/parts/7001137.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3470/53393/30002738-1__05696.1631044018.jpg?c=2,
HB47RLH,updated,/products/parts/hb47rlh.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/10145/16346/HB42RLH-2__51765.1493948920.jpg?c=2,
W175-0278,updated,/products/parts/w175-0278.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/41586/59611/W175-0347-01__14641.1681752022.jpg?c=2,
90000076,fetch-error,,,HTTP Error 404: Not Found
1304262A,updated,/products/parts/1304262a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/1408/67572/1304273A-1__24106.1756131967.jpg?c=2,
SE52707,updated,/products/parts/se52707.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/12097/18245/SE52710-2__21675.1493959828.jpg?c=2,
SE58551,updated,/products/parts/se58551.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/11976/61005/SE30433-01__16933.1691105384.jpg?c=2,
30001927A,updated,/products/parts/30001927a.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/original/products/3358/43109/30002209-1__15535.1586888476.jpg?c=2,
